Capability,Category,Lacteva Status,Target User,Priority,Competitive Importance,Business Value,Complexity,Recommended Phase,Backend,Admin Portal,Mobile,AI Required,Hardware Required,Country Specific,Notes
Organization / tenant management,Platform,EXISTS,Administrator,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"organization table + workspace/branch hierarchy; country/currency/timezone resolved at onboarding"
User management,Platform,EXISTS,Administrator,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"user_account, membership, invitation, password reset"
Roles / permissions,Platform,EXISTS,Administrator,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"role/role_permission/user_role; registry-first permission model"
Multi-tenant isolation (RLS),Platform,EXISTS,Enterprise,P0,Differentiator (enterprise),Very high,Done,Done,Yes,n/a,n/a,No,No,No,"65 tables FORCE ROW LEVEL SECURITY; proven on real PostgreSQL"
Authentication / sessions,Platform,EXISTS,All,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"JWT + auth_session; invitation-based onboarding"
Farmer / supplier management,Procurement,EXISTS,Procurement manager,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"supplier + profile + bank accounts + documents + centre assignment"
Farmer advances / loans / recovery,Procurement,MISSING,Procurement manager; farmer,P0,Very high (India),Very high,Medium,Phase 2,Yes,Yes,No,No,No,No,"Deduction engine is an explicit placeholder — settlement lines always 0. Competitors advertise advance management as core"
Cattle / herd records,Procurement,MISSING,Farmer,P3,Low for Lacteva,Low,Medium,Later,Yes,Yes,Yes,No,No,No,"DairyKhata-style herd tracking; a farm-management product, not a dairy-operations one"
Collection centres,Procurement,EXISTS,Centre operator,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"collection_center + operating windows + calendar + config"
Milk collection,Procurement,EXISTS,Centre operator,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"milk_collection_transaction + collection_session + guided capture wizard"
Milk quality testing (FAT/SNF/CLR),Procurement,EXISTS,Centre operator,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"fat/snf/clr columns + quality_dimension registry; dimensions are data not code"
Quality-based procurement pricing,Procurement,EXISTS,Procurement manager,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"rate_card + pricing_matrix + resolution/calculator; genuinely strong vs market"
Shift-based collection (AM/PM),Procurement,PARTIAL,Centre operator,P1,Table stakes,High,Low,Phase 2,Yes,Yes,Yes,No,No,No,"Delivery has slots; collection sessions exist but shift is not a first-class procurement dimension"
Farmer ledger / passbook,Procurement,PARTIAL,Farmer; procurement manager,P0,Very high,Very high,Low,Phase 2,Yes,Yes,Yes,No,No,No,"Settlements exist; a running per-farmer ledger view with opening/closing does not"
Supplier / farmer payments,Finance,EXISTS,Finance team,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"payment + payment_line + attempts; CAS lifecycle; document numbering"
Settlements,Finance,EXISTS,Finance team,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"settlement + settlement_line; immutable once finalized"
Settlement deductions / bonuses / penalties / tax,Finance,MISSING,Finance team,P0,Very high,Very high,Medium,Phase 2,Yes,Yes,No,No,No,Partial,"Code comment: placeholder until the bonus/penalty/tax engines land — always 0"
Receipts,Finance,EXISTS,Finance team; farmer,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"receipt + receipt_line; generated by consumer from payment events"
Customer management,Sales,EXISTS,Sales team,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"customer + delivery_plan; household and business types"
Household / retail customers,Sales,EXISTS,Sales team,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"customer_type household; per-customer rate and quantity"
Subscriptions / recurring orders,Sales,EXISTS,Sales team; customer,P0,Table stakes,Very high,Done,Done,Yes,Yes,No,No,No,No,"delivery_plan with weekday mask, per-weekday quantity overrides, pause window"
Automatic scheduled delivery generation,Distribution,EXISTS,Dairy manager,P0,Differentiator,Very high,Done,Done,Yes,Yes,No,No,No,No,"Background loop per tenant on the tenant's own clock; idempotent by unique constraint"
Holiday-aware scheduling,Distribution,EXISTS,Dairy manager,P1,Differentiator,Medium,Done,Done,Yes,Yes,No,No,No,No,"DEMO-022; organization + centre calendar resolution"
Delivery operations,Distribution,EXISTS,Delivery agent,P0,Table stakes,Very high,Done,Done,Yes,Yes,Yes,No,No,No,"milk_delivery; scheduled -> delivered/skipped/returned/cancelled"
